t,EU27.Elec
0,0.0
1,256826.9
2,247188.37
3,236940.59
4,231734.18
5,231163.3
6,233129.2
7,236695.59000000003
8,239281.87
9,248707.48
10,260522.9
11,271127.89
12,278403.76
13,277303.51
14,274744.87
15,274551.43
16,282011.0
17,296083.23999999993
18,304630.5
19,305973.07000000007
20,300141.31999999995
21,291005.84
22,284845.82000000007
23,272407.96
24,258015.18
25,247826.38
26,241911.31
27,238089.37
28,241926.42
29,256093.58
30,284658.20000000007
31,314182.12
32,335879.53
33,349252.53
34,355955.42000000004
35,359679.34
36,361288.89
37,358111.78
38,354076.73
39,353198.51
40,358681.56
41,372512.02
42,377070.06
43,372618.82
44,358519.19
45,342898.24
46,329201.51
47,311852.92
48,294053.16
49,281909.42
50,275199.92
51,270686.58
52,272667.2
53,286408.38
54,315026.99
55,343896.77
56,365689.12
57,377305.28
58,380620.42
59,381733.54
60,379623.45
61,374495.33
62,370197.36
63,368028.02
64,374250.0
65,387812.13
66,391919.92
67,386776.27
68,371981.5
69,354582.39
70,339991.27
71,322859.05999999994
72,304542.78
73,291629.69
74,284867.06999999995
75,280591.33
76,282242.91000000003
77,294862.18
78,322548.26
79,352703.83
80,373751.61
81,385831.44
82,390410.03
83,391503.38
84,387943.59
85,381831.89
86,375481.1
87,372224.17
88,377451.66
89,388081.92
90,390392.38
91,383695.91
92,367114.91
93,350825.75999999995
94,337587.73000000004
95,321816.78
96,303520.54000000004
97,289952.54
98,281177.92
99,275215.47000000003
100,274377.48
101,277284.95
102,287356.46
103,302185.9
104,318346.17000000004
105,335078.19
106,346683.5800000001
107,350360.61
108,349534.26
109,343457.34
110,337309.22000000003
111,335039.32
112,340050.37
113,352559.46
114,357676.23
115,353857.80999999994
116,340954.08
117,327766.99000000005
118,318057.98000000004
119,305095.59
120,289046.93
121,276212.33
122,267321.30999999994
123,260570.04
124,257176.32
125,257980.1
126,263100.2
127,272626.89
128,285293.81
129,302684.86000000004
130,316796.36
131,325320.87
132,327993.42
133,321287.15
134,315130.33
135,312614.21
136,319289.18000000005
137,333977.77
138,343800.9
139,344452.13
140,336368.19
141,324786.24000000005
142,316166.22
143,302090.57
144,284816.24
145,273393.94
146,267829.98
147,264770.13
148,268898.77
149,288125.36
150,327724.16
151,364497.06
152,384275.39
153,392121.3000000001
154,395523.93
155,397397.8
156,394703.78
157,392167.14
158,389421.22
159,387647.63
160,391873.59
161,401773.97
162,403411.34
163,397610.3900000001
164,382500.16
165,364307.57
166,346234.45
167,327275.76000000007
168,308276.35
169,295221.76
170,288510.31
171,284780.61
172,288360.93999999994
173,304464.77
174,342038.78
175,379302.18
176,398750.16
177,404733.85
178,406425.08
179,406157.67
180,401935.51
181,398363.51
182,395150.67
183,393853.38
184,398458.4
185,407954.14
186,410231.48
187,405348.56
188,389392.41
189,369893.11
190,351070.49
191,332056.22000000003
192,312010.03
193,299403.16000000003
194,292285.45000000007
195,289092.44
196,292824.59
197,308664.53
198,345422.85
199,382357.83
200,402756.64
201,408737.3900000001
202,409390.4900000001
203,409017.33
204,403678.81
205,401653.91
206,398503.48
207,397395.77
208,401523.73
209,412113.39
210,414880.7
211,410157.85
212,393253.49
213,373543.09
214,355091.72
215,335074.91
216,317058.18
217,305047.32
218,297748.92
219,294195.5200000001
220,296956.52
221,312522.98
222,349792.43
223,387728.50000000006
224,407190.50000000006
225,411900.52
226,412710.36
227,412032.03
228,407011.71
229,403957.86
230,399363.67
231,397738.98
232,401233.37
233,411956.56
234,415465.35
235,411529.81
236,395140.94
237,374241.54
238,357462.38
239,338513.4
240,320083.06
241,307145.39
242,300293.22
243,296573.71
244,299081.55
245,314523.04000000004
246,351964.34
247,388888.86
248,408417.95
249,414623.14
250,414286.7
251,412813.3
252,406704.04999999993
253,400378.78
254,394120.88
255,391477.44
256,394497.62
257,405624.32
258,407504.39
259,401923.36
260,383686.86
261,365114.65
262,349400.66000000003
263,332442.35000000003
264,313812.09
265,299973.2
266,290296.26
267,282289.66000000003
268,279913.65
269,283520.3
270,295366.80999999994
271,313416.14
272,332406.25
273,348456.33
274,357196.63
275,359025.94
276,356968.57
277,349962.83
278,343820.27
279,340417.09
280,345239.68000000005
281,357136.21
282,363222.9
283,359040.43
284,345834.85
285,331360.80999999994
286,321714.81
287,308896.33
288,290748.66
289,277632.45
290,269072.26
291,262294.15
292,259209.02
293,260335.91
294,265260.11
295,275587.92
296,289067.93
297,306566.66000000003
298,320688.4
299,328900.51
300,330428.58
301,324946.03
302,318722.42
303,316014.02
304,321012.97000000003
305,334723.62
306,345252.66000000003
307,346604.94
308,337282.45
309,325604.3
310,316414.93999999994
311,302709.29000000004
312,287409.16000000003
313,276098.32
314,270878.27
315,267791.04000000004
316,271818.16000000003
317,291082.48000000004
318,332754.11
319,372239.72
320,392044.59
321,398345.64
322,397970.16
323,398148.35
324,393070.61
325,390428.54
326,386563.02
327,385718.87000000005
328,390112.34
329,401779.87
330,404846.15
331,400677.19
332,384401.64
333,364014.56
334,346029.57
335,326455.17
336,308257.81
337,296374.12999999995
338,290226.64
339,286768.77
340,289639.08
341,306334.22000000003
342,344426.48000000004
343,382950.07
344,402236.6
345,405778.52
346,405006.8
347,403961.25
348,397869.34
349,394233.41
350,389294.36
351,387789.04
352,390948.24
353,402364.71
354,407394.76
355,403731.0
356,388457.7
357,368703.17
358,350834.49
359,331683.41000000003
360,311481.86000000004
361,299008.03
362,292183.96
363,288581.33
364,292964.46
365,310220.16
366,347565.4
367,385570.27
368,403910.17
369,407377.9
370,405826.99
371,404862.57
372,399125.92
373,395236.06
374,390242.94000000006
375,388255.04
376,392140.0
377,404180.26
378,407490.22
379,402354.52
380,384808.19
381,365013.01
382,346428.23000000004
383,327466.83
384,309106.74
385,297185.5800000001
386,290530.26000000007
387,286820.21
388,289974.89
389,305706.77
390,343538.21
391,381231.61
392,398258.9
393,401876.89
394,401642.16
395,401618.26000000007
396,396897.42
397,393274.47
398,389446.59
399,388430.75
400,392438.02
401,404400.09
402,409700.18
403,406038.01
404,389967.26
405,370417.06
406,353259.15
407,334422.4
408,317577.54000000004
409,304981.25
410,297454.73000000004
411,293416.72
412,297040.6
413,313281.44999999995
414,350578.6
415,388824.84
416,406869.91
417,411649.75
418,409483.27
419,406143.75
420,399357.29
421,393194.52
422,388173.75
423,385056.64
424,388166.88
425,401116.56
426,405605.25
427,400011.75
428,383221.32
429,365767.67999999993
430,351182.80999999994
431,335265.46
432,316472.55
433,303317.59
434,295634.31
435,288376.64
436,286257.64
437,289922.26
438,301160.47
439,319510.56
440,339109.0
441,355555.21
442,362089.38
443,361545.57
444,357236.80999999994
445,348050.1
446,339582.47000000003
447,337727.02
448,343139.9000000001
449,358170.35000000003
450,366327.2400000001
451,362945.5
452,348901.51
453,334367.52
454,324878.95
455,313234.29
456,298369.45
457,285615.65
458,277206.0800000001
459,270282.34
460,267822.87
461,269376.48999999993
462,274442.23999999993
463,284791.55
464,298434.51
465,315537.58
466,326899.72
467,332861.5
468,333576.63
469,326657.78
470,319623.16
471,316388.25
472,322637.89
473,340267.09
474,353091.28
475,355487.63
476,347130.75999999995
477,335331.96
478,327401.99
479,313823.43
480,300407.62000000005
481,290313.11000000004
482,285007.84
483,282567.41
484,287347.89
485,306874.85000000003
486,348892.43
487,389126.89
488,408697.17
489,414749.59
490,414179.33
491,411862.27
492,406266.19
493,402504.73
494,398128.67
495,395919.88
496,399166.64
497,411804.08
498,418240.99
499,415251.91
500,399324.42
501,379446.29
502,362688.69
503,344187.39
504,326194.68999999994
505,315320.24
506,308180.33
507,303682.2
508,305864.24
509,322191.64
510,360025.66000000003
511,397107.51
512,415159.34
513,420712.52
514,421590.51
515,421322.48999999993
516,416856.92
517,413160.15
518,409064.36
519,407221.11
520,409382.36
521,420893.83
522,425204.31
523,420583.71
524,402631.53
525,381563.66
526,363445.4
527,344494.09
528,326175.01
529,314647.10000000003
530,307589.91000000003
531,302990.84
532,304919.12000000005
533,320941.23
534,357448.11
535,393445.9
536,411428.69
537,418929.04
538,420351.96
539,420297.98
540,415737.05
541,411854.58
542,407964.9
543,405849.84
544,409719.33
545,420167.29
546,423085.93000000005
547,418423.15
548,401716.05
549,381641.02
550,364226.42
551,345728.50000000006
552,328140.77
553,316752.11000000004
554,309472.38
555,305306.99999999994
556,307831.02
557,322912.72000000003
558,359600.5
559,396739.36
560,414164.4
561,420339.18
562,421566.31
563,420280.04
564,415162.41
565,412059.41
566,407666.11
567,405232.77
568,406554.63
569,416299.61
570,421391.67
571,417445.83
572,400006.96
573,380269.07
574,362470.25
575,344722.04000000004
576,327326.19
577,316326.95
578,308771.54
579,303814.84
580,305838.97
581,321538.89
582,357595.59
583,393198.66
584,410914.41
585,417965.57000000007
586,419012.03
587,417376.79
588,411824.98
589,405647.61
590,399950.64
591,395180.97
592,395266.32
593,404758.98
594,408416.87
595,403896.89
596,385682.98
597,367392.46
598,352886.77
599,336433.47000000003
600,318274.64
601,304828.11000000004
602,295195.58
603,288856.39
604,286436.76
605,289437.64
606,300370.33
607,318048.86000000004
608,336653.74
609,354309.9
610,362468.1
611,362567.69
612,359152.32000000007
613,350627.86
614,342580.92000000004
615,337879.14
616,340306.3
617,352791.78
618,361013.32
619,358451.98
620,345066.00999999995
621,331279.97
622,322729.61
623,310139.10000000003
624,294635.41
625,282130.62
626,273748.08
627,266807.88
628,265088.67
629,266797.7
630,271761.16
631,282383.63
632,295059.66
633,313107.67000000004
634,325548.81
635,332527.06
636,334007.33
637,326291.46
638,320138.58
639,315993.88
640,319875.12
641,335121.47
642,348418.44
643,351631.78
644,343926.08
645,331821.93999999994
646,323531.45
647,308655.80000000005
648,293835.17
649,283971.00999999995
650,278748.14
651,275823.56
652,280264.47000000003
653,298851.50999999995
654,340250.64
655,379784.77
656,399512.85
657,406508.6
658,408048.97
659,406785.93
660,402613.62
661,400290.09
662,395607.66
663,392518.03
664,393626.36
665,403200.13
666,409216.76
667,405811.25
668,388718.23
669,369241.68
670,351644.06
671,333388.51
672,316218.92
673,305163.93000000005
674,298673.24
675,294859.44000000006
676,297909.97000000003
677,314335.75999999995
678,351821.46
679,387771.5
680,404223.7
681,409205.97
682,408140.45
683,406846.5500000001
684,401416.61
685,398190.23
686,394798.57
687,392953.77
688,393999.72
689,405418.24
690,411192.49
691,408311.37
692,392260.79
693,371698.07
694,353719.41000000003
695,335163.06
696,318874.67
697,308481.8
698,301863.82000000007
699,297822.43
700,299953.68
701,316088.85
702,352150.56999999995
703,386512.31
704,403628.85
705,409719.74
706,411291.7899999999
707,410749.92
708,406130.35
709,402062.52
710,398722.25
711,396345.11
712,397439.17
713,407916.62000000005
714,414116.41
715,410718.18
716,393454.05
717,373524.1
718,356466.71
719,338162.81000000006
720,320766.52
721,309889.78
722,302992.6
723,299042.68
724,301249.86000000004
725,317124.29000000004
726,354383.11
727,390169.42
728,406341.75
729,412930.29
730,413988.67999999993
731,412815.54
732,408033.82
733,403460.44
734,398771.4
735,396092.07
736,397442.29999999993
737,407581.68
738,412707.44
739,408404.47
740,391602.46
741,371248.89
742,353607.82
743,335547.31
744,318222.05
745,306672.08
746,299998.94
747,295860.19
748,297556.65
749,313010.72
750,347478.78
751,382193.78
752,399009.14
753,406046.16
754,407769.4900000001
755,407904.74
756,402387.7
757,396515.94
758,389753.22
759,385163.05
760,385758.34
761,394751.76
762,398345.0200000001
763,393644.67
764,376320.92
765,356506.65
766,341405.53
767,324695.83
768,307644.35
769,294738.34
770,285772.67
771,279707.93
772,278191.64
773,281692.95
774,292622.29000000004
775,309556.02
776,327046.41
777,345080.34
778,353736.46
779,356715.38
780,354006.52
781,345968.53
782,339062.75
783,334797.43
784,337103.25
785,349875.72
786,358645.67000000004
787,356672.81
788,343569.19
789,328999.35000000003
790,320044.69
791,308262.72
792,294016.58
793,282089.36
794,273439.39
795,266860.97000000003
796,264748.73
797,266754.1
798,272621.06
799,282084.52
800,295475.96
801,312805.74000000005
802,323763.95000000007
803,329730.14
804,329594.07000000007
805,321847.8
806,315161.74
807,311085.8300000001
808,312940.54000000004
809,328280.6
810,346169.23
811,351776.23000000004
812,344635.56000000006
813,332773.59
814,324688.73
815,311990.39
816,296681.88
817,287831.39
818,282878.52
819,279479.63
820,283716.9199999999
821,302916.79
822,343092.23
823,381111.19
824,399144.98
825,406040.97
826,405537.9
827,404853.0
828,400988.2
829,397448.86
830,393146.07
831,389952.08
832,390398.07
833,401055.8
834,409130.88
835,406859.88
836,390404.39
837,370341.89
838,352315.78
839,335011.88
840,317346.67000000004
841,305203.87999999995
842,298181.78
843,294199.06
844,296594.65
845,311974.39
846,349338.08
847,385497.38
848,401781.63
849,407024.48
850,406405.34
851,404212.17
852,398432.23
853,392661.17999999993
854,386564.39
855,382583.43000000005
856,381783.74
857,393031.78
858,402806.6
859,401847.1
860,386384.87
861,367105.58
862,348892.18000000005
863,330470.73
864,312906.51
865,300648.21
866,294213.21
867,291007.51
868,294618.53
869,311056.91000000003
870,347584.16000000003
871,382307.08
872,398477.26
873,403092.98
874,401449.63
875,400498.04
876,395021.42
877,390042.98
878,384273.09
879,380652.89
880,380404.59
881,391067.13
882,401050.68
883,400348.54
884,384972.03
885,364057.62
886,345295.44
887,327538.73
888,308371.61
889,296456.04
890,289294.07
891,286309.3
892,289573.94
893,305640.59
894,342735.43999999994
895,377859.13
896,394229.58
897,399476.59
898,397443.95
899,395075.12
900,390332.96
901,385864.99
902,380556.96
903,377123.3
904,377838.19
905,387714.50000000006
906,398924.13
907,397159.52
908,380940.39
909,361167.03
910,344125.28
911,326952.57
912,309470.46
913,297261.54000000004
914,290402.81
915,286217.32
916,288941.09
917,304423.51
918,340497.05
919,375926.94
920,391604.0
921,396390.44000000006
922,394244.9
923,390773.12
924,384376.35
925,378569.68
926,372679.03
927,368784.37
928,368491.95
929,378750.91
930,386951.74
931,384233.87
932,367823.8
933,349620.78
934,335904.04000000004
935,319876.79000000004
936,302445.44
937,289205.96
938,280724.31
939,274498.76
940,273442.93
941,276629.19999999995
942,288165.93000000005
943,304116.99000000005
944,321545.7
945,336173.61
946,341061.5
947,341349.14
948,337359.05999999994
949,329436.22
950,321957.24000000005
951,317749.53
952,318483.2700000001
953,331094.39
954,345042.58
955,344168.29000000004
956,332073.99000000005
957,317445.87
958,307944.16000000003
959,295546.6
960,278198.73
961,265691.31
962,258343.15
963,252683.59
964,249826.67
965,251141.86
966,256718.08
967,265894.83
968,278876.36
969,295109.44
970,307122.25
971,315144.38
972,317371.66
973,309719.51
974,303803.12
975,299714.68
976,301893.15
977,315531.81999999995
978,331216.6
979,335864.34
980,327383.23
981,316658.86
982,308437.35
983,295454.36
984,281313.16000000003
985,271584.37999999995
986,266535.48
987,264466.71
988,268923.09
989,288493.13
990,329208.44
991,366256.36
992,384848.27
993,391027.75
994,390723.51
995,391656.8
996,387280.28
997,384040.74
998,378902.28
