timestamp,AT_solar_generation_actual,AT_wind_onshore_generation_actual,BE_solar_generation_actual,BE_wind_onshore_generation_actual,BE_wind_offshore_generation_actual,BG_solar_generation_actual,BG_wind_onshore_generation_actual,CY_wind_onshore_generation_actual,CZ_solar_generation_actual,CZ_wind_onshore_generation_actual,DE_solar_generation_actual,DE_wind_onshore_generation_actual,DE_wind_offshore_generation_actual,DK_solar_generation_actual,DK_wind_onshore_generation_actual,DK_wind_offshore_generation_actual,EE_solar_generation_actual,EE_wind_onshore_generation_actual,ES_solar_generation_actual,ES_wind_onshore_generation_actual,FI_wind_onshore_generation_actual,FR_solar_generation_actual,FR_wind_onshore_generation_actual,GR_solar_generation_actual,GR_wind_onshore_generation_actual,HR_solar_generation_actual,HR_wind_onshore_generation_actual,HU_solar_generation_actual,HU_wind_onshore_generation_actual,IE_wind_onshore_generation_actual,IT_solar_generation_actual,IT_wind_onshore_generation_actual,LT_solar_generation_actual,LT_wind_onshore_generation_actual,LV_wind_onshore_generation_actual,NL_solar_generation_actual,NL_wind_onshore_generation_actual,NL_wind_offshore_generation_actual,PL_solar_generation_actual,PL_wind_onshore_generation_actual,PT_solar_generation_actual,PT_wind_onshore_generation_actual,PT_wind_offshore_generation_actual,RO_solar_generation_actual,RO_wind_onshore_generation_actual,SE_wind_onshore_generation_actual,SI_solar_generation_actual,SI_wind_onshore_generation_actual,SK_solar_generation_actual,SK_wind_onshore_generation_actual
2019-01-01 00:00:00,0.0,188.0,0.0,304.75,500.06,0.0,10.0,50.0,0.0,120.77,0.0,22036.0,2868.0,0.0,3077.16,1026.0,0.7,243.7,31.0,3774.0,1426.8,0.0,1637.0,4.0,1579.0,0.0,0.0,0.0,1.0,593.0,0.0,5088.0,0.0,437.57,54.0,0.0,725.0,812.0,0.0,3439.92,0.0,542.6,0.0,0.0,144.0,5234.0,0.04,0.2,0.2,0.0
2019-01-01 01:00:00,0.0,139.0,0.0,291.61,554.06,0.0,13.0,57.0,0.0,119.76,0.0,22748.0,2460.0,0.0,2907.75,567.18,0.7,236.7,23.0,3740.0,1351.5,0.0,1567.0,0.0,1540.0,0.0,0.0,0.0,0.0,614.0,0.0,5086.0,0.0,435.91,54.0,0.0,804.0,822.0,0.0,3706.78,0.0,440.5,0.0,0.0,195.0,5011.0,0.04,0.15,0.2,0.0
2019-01-01 02:00:00,0.0,115.0,0.0,343.37,510.95,0.0,26.0,49.0,0.0,140.87,0.0,23870.0,2698.0,0.0,2865.65,502.79,0.7,227.0,15.0,3697.0,1176.8,0.0,1556.0,4.0,1541.0,0.0,0.0,0.0,0.0,513.0,0.0,5131.0,0.0,452.34,52.0,0.0,879.0,840.0,0.0,3981.88,0.0,366.8,0.0,0.0,159.0,4934.0,0.04,0.16,0.2,0.0
2019-01-01 03:00:00,0.0,163.0,0.0,391.99,608.7,0.0,23.0,34.0,0.0,169.09,0.0,25922.0,2578.0,0.0,2782.29,491.13,0.7,206.4,15.0,3516.0,1000.8,0.0,1595.0,4.0,1546.0,0.0,0.0,0.0,0.0,462.0,0.0,5235.0,0.0,457.01,50.0,0.0,934.0,841.0,0.0,4114.99,0.0,346.3,0.0,0.0,92.0,4895.0,0.04,0.14,0.2,0.0
2019-01-01 04:00:00,0.0,285.0,0.0,371.06,639.73,0.0,24.0,16.0,0.0,173.77,0.0,27429.0,2379.0,0.0,2705.15,490.14,0.7,201.5,15.0,3384.0,825.53,0.0,1719.0,4.0,1506.0,0.0,0.0,0.0,8.0,368.0,0.0,4950.0,0.0,460.32,50.0,0.0,1010.0,843.0,0.0,4356.57,0.0,413.0,0.0,0.0,97.0,4894.0,0.04,0.1,0.2,0.0
2019-01-01 05:00:00,0.0,450.0,0.0,411.74,801.62,0.0,51.0,23.0,0.0,186.73,0.0,29086.0,1930.0,0.0,2986.34,487.53,0.7,198.6,15.0,3367.0,641.7,0.0,1794.0,4.0,1459.0,0.0,0.0,0.0,24.0,298.0,0.0,4741.0,0.0,457.51,51.0,0.0,1026.0,842.0,0.0,4570.84,0.0,448.9,0.0,0.0,91.0,4836.0,0.04,0.2,0.2,0.0
2019-01-01 06:00:00,10.0,592.0,0.0,442.81,875.09,9.0,38.0,22.0,2.58,196.38,0.0,29905.0,2045.0,0.0,2989.9,493.43,0.7,204.2,15.0,3346.0,423.31,0.0,1780.0,42.0,1469.0,0.0,0.0,0.0,50.0,259.0,44.0,4418.0,0.0,457.59,50.0,0.0,1009.0,847.0,0.0,4675.14,0.0,403.8,0.0,5.0,52.0,4900.0,0.11,0.21,0.2,0.0
2019-01-01 07:00:00,25.0,637.0,0.0,364.43,792.24,37.0,43.0,35.0,4.84,218.06,84.0,30440.0,2208.0,0.48,2940.82,655.83,0.7,210.1,39.0,3345.0,284.25,132.0,1730.0,199.0,1468.0,0.0,0.0,0.0,95.0,213.0,1052.0,4210.0,0.0,456.99,50.0,0.0,955.0,827.0,0.0,4734.73,0.2,404.7,0.0,53.0,18.0,5030.0,5.0,0.32,0.6,0.0
2019-01-01 08:00:00,55.0,679.0,12.56,397.54,677.96,72.0,30.0,14.0,17.93,226.44,583.0,30200.0,2075.0,21.87,3215.54,653.22,0.7,193.9,777.0,3154.0,247.48,503.0,1670.0,292.0,1487.0,0.0,0.0,0.0,104.0,161.0,2840.0,3656.0,1.0,452.07,50.0,0.0,746.0,804.0,0.0,4800.82,52.5,372.5,0.0,120.0,0.0,5074.0,26.71,0.18,15.4,0.0
2019-01-01 09:00:00,102.0,907.0,65.97,422.05,819.25,95.0,24.0,10.0,39.95,237.75,1369.0,31311.0,2155.0,82.28,3140.61,634.43,0.7,174.2,2084.0,2547.0,259.13,1067.0,1589.0,427.0,1493.0,0.0,0.0,0.0,102.0,124.0,4601.0,3262.0,2.0,449.59,48.0,0.0,818.0,743.0,0.0,4871.04,196.0,340.6,0.0,180.0,0.0,5232.0,56.53,0.24,32.3,0.0
