t,2024_EU27.Elec,2025_EU27.Elec,2026_EU27.Elec,2027_EU27.Elec,2028_EU27.Elec,2029_EU27.Elec,2030_EU27.Elec,2031_EU27.Elec,2032_EU27.Elec,2033_EU27.Elec,2034_EU27.Elec,2035_EU27.Elec,2036_EU27.Elec,2037_EU27.Elec,2038_EU27.Elec,2039_EU27.Elec,2040_EU27.Elec,2041_EU27.Elec,2042_EU27.Elec,2043_EU27.Elec,2044_EU27.Elec,2045_EU27.Elec,2046_EU27.Elec,2047_EU27.Elec,2048_EU27.Elec,2049_EU27.Elec,2050_EU27.Elec
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,244282.55794240185,257350.04258212342,270417.527221845,283485.0118615665,296552.4965012881,309629.7842052555,300251.913264501,308218.1429538528,316188.0341857309,324157.9254176091,332127.8166494873,340097.7078813655,348077.4021774896,356047.2934093678,364017.1846412459,371987.0758731241,346480.34027922474,357890.269487588,369301.0362697605,380711.80305193295,392122.56983410544,403533.3366162779,414944.1033984504,426354.87018062285,437765.63696279534,449205.81293770537,398295.511648796
2,235114.80813424475,247691.87941491205,260268.95069557935,272846.0219762466,285423.09325691394,298009.59969983227,288983.67355301714,296650.9363356792,304321.72324579355,311992.510155908,319663.2970660224,327334.0839761368,335014.30604850233,342685.09295861673,350355.8798687311,358026.66677884554,333477.18074184173,344458.9034618166,355441.4323220542,366423.9611822918,377406.4900425294,388389.01890276704,399371.54776300467,410354.07662324223,421336.60548347986,432347.4398304706,383347.76576278376
3,225367.5662696621,237423.2252382186,249478.8842067751,261534.5431753316,273590.2021438881,285654.90511767234,277003.1701411328,284352.56836488005,291705.3446150199,299058.1208651598,306410.89711529965,313763.6733654395,321125.49362080713,328478.269870947,335831.0461210868,343183.8223712267,319652.0934884947,330178.54285375914,340705.7649388302,351232.9870239013,361760.2091089724,372287.43119404354,382814.65327911463,393341.8753641857,403869.0974492568,414423.45155001106,367455.1751565649
4,220415.45590857102,232206.21006107013,243996.96421356924,255787.71836606832,267578.47251856746,279378.0719480001,270916.445721925,278104.3520695607,285295.5622165837,292486.7723636068,299677.98251062987,306869.19265765295,314069.24808160966,321260.45822863275,328451.66837565583,335642.8785226789,312628.2236818928,322923.370292151,333219.27264287043,343515.17499358975,353811.0773443092,364106.97969502857,374402.882045748,384698.7843964674,394994.68674718676,405317.12492870697,359380.9051529033
5,219872.45972445572,231634.16720921433,243395.87469397293,255157.5821787315,266919.28966349014,278689.8206347339,270249.0397288439,277419.23858086654,284592.73309332615,291766.2276057858,298939.7221182455,306113.2166307052,313295.53462965006,320469.02914210974,327642.52365456935,334816.018167029,311858.06021124934,322127.8446013255,332398.38287008693,342668.92113884835,352939.45940760983,363209.99767637125,373480.5359451327,383751.07421389414,394021.6124826556,404318.6212108726,358495.56587695493
6,221742.33815486537,233604.0716417804,245465.8051286954,257327.53861561045,269189.27210252546,281059.9041141869,272547.3396198861,279778.5165507092,287013.0171695103,294247.51778831147,301482.01840711257,308716.51902591373,315959.91816946125,323194.4187882624,330428.9194070635,337663.4200258646,314510.2189257568,324867.3414405805,335225.2242453585,345583.1070501365,355940.9898549145,366298.87265969254,376656.75546447054,387014.63826924853,397372.52107402653,407757.09945304366,361544.34755188995
7,225134.5329437298,237177.7261863957,249220.9194290616,261264.11267172752,273307.30591439345,285359.5338106548,276716.74485332303,284058.54369291745,291403.7170659762,298748.89043903496,306094.0638120938,313439.2371851526,320793.4452118068,328138.61858486565,335483.7919579244,342828.9653309832,319321.5685965601,329837.1334608005,340353.4702458441,350869.8070308877,361386.1438159313,371902.4806009749,382418.8173860185,392935.15417106205,403451.4909561057,413994.9317019355,367075.22118619055
8,227594.48980165733,239769.2742996552,251944.0587976531,264118.84329565096,276293.62779364886,288477.5456633632,279740.3203364118,287162.3401361976,294587.77134165313,302013.20254710875,309438.6337525643,316864.0649580199,324298.6295351919,331724.0607406475,339149.491946103,346574.9231515586,322810.67030069366,333441.13462333585,344072.3793012575,354703.6239791791,365334.8686571007,375966.11333502235,386597.358012944,397228.6026908656,407859.8473687872,418518.4921618581,371086.1083474149
9,236559.71938223275,249214.08376027827,261868.4481383238,274522.8125163693,287177.1768944148,299841.03441903053,290759.63893654686,298474.0213129251,306191.9494744787,313909.87763603235,321627.805797586,329345.7339591397,337073.1552672635,344791.0834288171,352509.01159037073,360226.93975192436,335526.5834707676,346575.79498401034,357625.817591696,368675.84019938164,379725.8628070673,390775.88541475293,401825.90802243864,412875.93063012423,423925.95323780994,435004.4552852061,385703.6509706837
